load_zone,TIMEPOINT,zone_demand_mw
Anhui,2040.06.26.00,33132.3237565333
Fujian,2040.06.26.00,43305.22595271
Jiangsu,2040.06.26.00,100907.793081187
Shanghai,2040.06.26.00,28592.58713196
Zhejiang,2040.06.26.00,73323.3487433417
Anhui,2040.06.26.04,28414.1078539944
Fujian,2040.06.26.04,39286.2529609592
Jiangsu,2040.06.26.04,92803.3284453336
Shanghai,2040.06.26.04,24896.3666876911
Zhejiang,2040.06.26.04,63982.8950989782
Anhui,2040.06.26.08,29897.5840328539
Fujian,2040.06.26.08,40944.2984287789
Jiangsu,2040.06.26.08,101798.857384525
Shanghai,2040.06.26.08,31178.0148772222
Zhejiang,2040.06.26.08,80753.1098029373
Anhui,2040.06.26.12,35332.3644189294
Fujian,2040.06.26.12,48929.9676967455
Jiangsu,2040.06.26.12,117774.639060313
Shanghai,2040.06.26.12,38343.8394402409
Zhejiang,2040.06.26.12,87479.412010289
Anhui,2040.06.26.16,36075.6810808481
Fujian,2040.06.26.16,49724.9588668901
Jiangsu,2040.06.26.16,120025.284698172
Shanghai,2040.06.26.16,37867.5114594349
Zhejiang,2040.06.26.16,94342.7206964086
Anhui,2040.06.26.20,37839.8865328229
Fujian,2040.06.26.20,48043.4820975114
Jiangsu,2040.06.26.20,116255.628624829
Shanghai,2040.06.26.20,35013.9597206922
Zhejiang,2040.06.26.20,83778.1864788643
Anhui,2040.12.19.00,35815.652879617
Fujian,2040.12.19.00,40699.3924060829
Jiangsu,2040.12.19.00,109883.563613463
Shanghai,2040.12.19.00,32433.1571106495
Zhejiang,2040.12.19.00,80988.8029037107
Anhui,2040.12.19.04,30715.3168990144
Fujian,2040.12.19.04,36922.2556919289
Jiangsu,2040.12.19.04,101058.205054186
Shanghai,2040.12.19.04,28240.458568496
Zhejiang,2040.12.19.04,70671.8687729125
Anhui,2040.12.19.08,32318.9372266328
Fujian,2040.12.19.08,38480.5305106681
Jiangsu,2040.12.19.08,110853.888283836
Shanghai,2040.12.19.08,35365.8607472013
Zhejiang,2040.12.19.08,89195.2946200604
Anhui,2040.12.19.12,38193.8709987094
Fujian,2040.12.19.12,45985.6729042695
Jiangsu,2040.12.19.12,128250.719276204
Shanghai,2040.12.19.12,43494.2022927606
Zhejiang,2040.12.19.12,96624.7856768429
Anhui,2040.12.19.16,38997.3875808407
Fujian,2040.12.19.16,46732.8265533099
Jiangsu,2040.12.19.16,130701.56034177
Shanghai,2040.12.19.16,42953.8937097569
Zhejiang,2040.12.19.16,104205.606301841
Anhui,2040.12.19.20,40904.472955853
Fujian,2040.12.19.20,45152.5303799708
Jiangsu,2040.12.19.20,126596.592526224
Shanghai,2040.12.19.20,39717.0515366834
Zhejiang,2040.12.19.20,92536.6223536428
Anhui,2050.06.12.00,39215.8313042649
Fujian,2050.06.12.00,51256.6051217484
Jiangsu,2050.06.12.00,119435.721437353
Shanghai,2050.06.12.00,33842.5424597131
Zhejiang,2050.06.12.00,86786.4293525646
Anhui,2050.06.12.04,33631.292162045
Fujian,2050.06.12.04,46499.6986029348
Jiangsu,2050.06.12.04,109843.176093824
Shanghai,2050.06.12.04,29467.6498783486
Zhejiang,2050.06.12.04,75730.9520152577
Anhui,2050.06.12.08,35387.1530549163
Fujian,2050.06.12.08,48462.1818817599
Jiangsu,2050.06.12.08,120490.396251523
Shanghai,2050.06.12.08,36902.6869594655
Zhejiang,2050.06.12.08,95580.3871348539
Anhui,2050.06.12.12,41819.826849915
Fujian,2050.06.12.12,57914.1195473901
Jiangsu,2050.06.12.12,139399.530538488
Shanghai,2050.06.12.12,45384.246215142
Zhejiang,2050.06.12.12,103541.722252889
Anhui,2050.06.12.16,42699.6257144213
Fujian,2050.06.12.16,58855.0810038174
Jiangsu,2050.06.12.16,142063.422763752
Shanghai,2050.06.12.16,44820.4584809024
Zhejiang,2050.06.12.16,111665.219946615
Anhui,2050.06.12.20,44787.7612734935
Fujian,2050.06.12.20,56864.8641444585
Jiangsu,2050.06.12.20,137601.610856636
Shanghai,2050.06.12.20,41442.9590810162
Zhejiang,2050.06.12.20,99160.9055879922
Anhui,2050.12.12.00,42391.8530948863
Fujian,2050.12.12.00,48172.3080611967
Jiangsu,2050.12.12.00,130059.555298391
Shanghai,2050.12.12.00,38388.2889489498
Zhejiang,2050.12.12.00,95859.3564262152
Anhui,2050.12.12.04,36355.0318661627
Fujian,2050.12.12.04,43701.6419743907
Jiangsu,2050.12.12.04,119613.750923078
Shanghai,2050.12.12.04,33425.7587036539
Zhejiang,2050.12.12.04,83648.1046159398
Anhui,2050.12.12.08,38253.0968707814
Fujian,2050.12.12.08,45546.0354695893
Jiangsu,2050.12.12.08,131208.043670752
Shanghai,2050.12.12.08,41859.4735215
Zhejiang,2050.12.12.08,105572.662293714
Anhui,2050.12.12.12,45206.7416987887
Fujian,2050.12.12.12,54429.2155382351
Jiangsu,2050.12.12.12,151799.14963841
Shanghai,2050.12.12.12,51480.2798729183
Zhejiang,2050.12.12.12,114366.300497309
Anhui,2050.12.12.16,46157.7939390901
Fujian,2050.12.12.16,55313.5559085164
Jiangsu,2050.12.12.16,154699.99566681
Shanghai,2050.12.12.16,50840.7639005699
Zhejiang,2050.12.12.16,123339.054263764
Anhui,2050.12.12.20,48415.0439556865
Fujian,2050.12.12.20,53443.097663576
Jiangsu,2050.12.12.20,149841.304602856
Shanghai,2050.12.12.20,47009.5971659169
Zhejiang,2050.12.12.20,109527.499439919
