SetProduct_OrderedSet_1,SetProduct_OrderedSet_2,TXPowerNet
North,1,2.6192502954065473
North,2,1.5632840863252375
North,3,2.091267190865892
North,4,1.7744773281414998
North,5,1.5632840863252377
North,6,1.9112813751432305
North,7,0.059864697904920376
Central,1,-6.784975877590538
Central,2,-7.524152223947448
Central,3,-6.890572498498669
Central,4,-7.207362361223062
Central,5,-7.524152223947453
Central,6,-10.133386014866145
Central,7,-11.857726289417355
South,1,3.430055004487857
South,2,4.486021213569162
South,3,3.958038109028511
South,4,4.697214455385428
South,5,5.541987422650477
South,6,7.653919840813097
South,7,11.087645195353746
