TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,TxPowerReceived
North,Central,1,0.0
North,Central,2,3.5957753864201587
North,Central,3,0.0
North,Central,4,0.0
North,Central,5,0.0
North,Central,6,0.0
North,Central,7,0.0
Central,North,1,2.6192502954065473
Central,North,2,5.30888344717957
Central,North,3,2.091267190865892
Central,North,4,1.7744773281414998
Central,North,5,1.5632840863252377
Central,North,6,1.9112813751432305
Central,North,7,0.059864697904920376
Central,South,1,6.721633522772544
Central,South,2,11.087645195353746
Central,South,3,8.007874150014052
Central,South,4,7.619870071299211
Central,South,5,5.541987422650477
Central,South,6,7.653919840813097
Central,South,7,11.087645195353746
South,Central,1,3.0940838071876056
South,Central,2,6.205526542877508
South,Central,3,3.8068458785264085
South,Central,4,2.747296278958956
South,Central,5,0.0
South,Central,6,0.0
South,Central,7,0.0
