RFM_SUPPLY_TIERS_1,RFM_SUPPLY_TIERS_2,RFM_SUPPLY_TIERS_3,ConsumeFuelTier
Anhui,2038,0,0.0
Anhui,2048,0,0.0
Fujian,2038,0,0.0
Fujian,2048,0,0.0
Jiangsu,2038,0,0.0
Jiangsu,2048,0,0.0
Shanghai,2038,0,0.0
Shanghai,2048,0,0.0
Zhejiang,2038,0,0.0
Zhejiang,2048,0,0.0
Anhui_Coal,2038,0,12499418622.89348
Anhui_Coal,2048,0,10250316811.5575
Anhui_Hydrogen,2038,0,-0.0
Anhui_Hydrogen,2048,0,-0.0
Anhui_Uranium,2038,0,185111293.526016
Anhui_Uranium,2048,0,185111293.526016
Fujian_Coal,2038,0,645776045.6345205
Fujian_Coal,2048,0,344525843.1190944
Fujian_Hydrogen,2038,0,-0.0
Fujian_Hydrogen,2048,0,-0.0
Fujian_Uranium,2038,0,1082822712.940143
Fujian_Uranium,2048,0,1082822712.940143
Jiangsu_Coal,2038,0,1121523053.426185
Jiangsu_Coal,2048,0,1190808926.027409
Jiangsu_Hydrogen,2038,0,-0.0
Jiangsu_Hydrogen,2048,0,-0.0
Jiangsu_Uranium,2038,0,807548290.6752716
Jiangsu_Uranium,2048,0,818743312.7274089
Shanghai_Coal,2038,0,422063096.7641136
Shanghai_Coal,2048,0,467497315.6144915
Shanghai_Hydrogen,2038,0,-0.0
Shanghai_Hydrogen,2048,0,-0.0
Shanghai_Uranium,2038,0,0.0
Shanghai_Uranium,2048,0,0.0
Zhejiang_Coal,2038,0,1382191737.536115
Zhejiang_Coal,2048,0,680613548.3865534
Zhejiang_Hydrogen,2038,0,-0.0
Zhejiang_Hydrogen,2048,0,-0.0
Zhejiang_Uranium,2038,0,998668218.0183787
Zhejiang_Uranium,2048,0,1009477808.666876
