PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2038,EmissionsCosts,annual,0.0,0.0
2038,FuelCostsPerPeriod,annual,24784952251.724163,56706178198.5463
2038,GenVariableOMCostsInTP,timepoint,2516602737.079995,5757805051.001467
2038,LocalTDFixedCosts,annual,11535173743.908197,26391643253.12538
2038,StorageEnergyFixedCost,annual,4102496642.1019926,9386215607.084337
2038,TotalGenFixedCosts,annual,55027182868.15218,125898214601.90076
2038,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2038,TxFixedCosts,annual,1424876621.0027668,3260014655.703225
2048,EmissionsCosts,annual,0.0,0.0
2048,FuelCostsPerPeriod,annual,1309035805.2150047,4025001666.218577
2048,GenVariableOMCostsInTP,timepoint,219713560.58758423,675571626.0263727
2048,LocalTDFixedCosts,annual,10159244733.011265,31237477855.83026
2048,StorageEnergyFixedCost,annual,14455244686.26299,44446747534.34228
2048,TotalGenFixedCosts,annual,81063343317.58243,249252228718.77628
2048,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2048,TxFixedCosts,annual,1229795623.3915281,3781355264.3399277
