TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
Fujian-Zhejiang,2038,Fujian,Zhejiang,26,473.207,0.970596,1,101742.93440246105,101742.93440246105,1496097577.359267
Fujian-Zhejiang,2048,Fujian,Zhejiang,26,473.207,0.970596,1,101742.93440246105,101742.93440246105,1496097577.359267
Anhui-Zhejiang,2038,Anhui,Zhejiang,6,327.053,0.979678,1,40953.49729248034,40953.49729248034,416211075.1486962
Anhui-Zhejiang,2048,Anhui,Zhejiang,6,327.053,0.979678,1,40953.49729248034,40953.49729248034,416211075.1486962
Jiangsu-Shanghai,2038,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.0,7500.0,63078333.8702506
Jiangsu-Shanghai,2048,Jiangsu,Shanghai,81,270.654,0.983182,1,30371.13935197072,30371.13935197072,255434782.40846872
Jiangsu-Zhejiang,2038,Jiangsu,Zhejiang,82,238.01,0.985211,1,46442.63683532047,46442.63683532047,343491958.21698517
Jiangsu-Zhejiang,2048,Jiangsu,Zhejiang,82,238.01,0.985211,1,46442.63683532047,46442.63683532047,343491958.21698517
Zhejiang-Shanghai,2038,Zhejiang,Shanghai,164,165.398,0.989723,1,35387.15751617737,35387.15751617737,181878110.24421993
Zhejiang-Shanghai,2048,Zhejiang,Shanghai,164,165.398,0.989723,1,35387.15751617737,35387.15751617737,181878110.24421993
Anhui-Jiangsu,2038,Anhui,Jiangsu,3,142.72,0.991132,1,171198.4431966562,171198.4431966562,759257600.863806
Anhui-Jiangsu,2048,Anhui,Jiangsu,3,142.72,0.991132,1,245378.2419647464,245378.2419647464,1088241760.9622908
